Product Key,Product Name,Product Type,Product Family,Product Line,Product Group,Sku Number,Price
1,"60"" Class (59.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,HD1548890480,109.5
2,"65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD2146525053,1054.5
3,"55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD6650036963,167.5
4,"50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD8931451202,167.5
5,"60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD2741903687,293.5
6,"65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,HD7754047458,162
7,"55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD5471457577,419.5
8,"55"" Class (54.6"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,HD7350004591,172.5
9,"55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD3763175147,109.5
10,"60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD1134786088,456
11,"40"" Class (40"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD3597731336,109.5
12,"50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,HD1537819291,1159.5
13,"65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,HD4172546894,1002
14,"AQUOS   50"" Class (49.6"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,HD7300946701,99
15,"65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,HD5813347913,592.5
